wdid,mass,age
Gaia DR3 2827011383341172864,0.542,
Gaia DR3 282701653731420672,0.933,
Gaia DR3 2827018392727751296,0.551,
Gaia DR3 282707151289332352,0.619,
Gaia DR3 2827150097901136256,0.572,
Gaia DR3 2827177581395323904,0.521,
Gaia DR3 2827263377662680960,0.523,
Gaia DR3 2827269768573149824,,
Gaia DR3 2827300692338849920,0.38,
Gaia DR3 2827367285807319424,0.535,
Gaia DR3 2827380510010679680,0.518,
Gaia DR3 2827626388298604288,0.804,
Gaia DR3 2827715861057249024,0.545,
Gaia DR3 2827941913775211520,0.62,
Gaia DR3 2828077050626381952,,
Gaia DR3 2828110001615687296,0.494,
Gaia DR3 2828203288307357952,0.619,
Gaia DR3 2828252594530400128,0.627,
Gaia DR3 282828406806082048,0.505,
Gaia DR3 2828514587535128320,,
Gaia DR3 2828637011282298752,0.479,
Gaia DR3 2828662368769331584,0.462,
Gaia DR3 2828697385638552320,,
Gaia DR3 282878984339974528,0.723,
Gaia DR3 282878984339976320,0.865,
Gaia DR3 2828897836057104256,0.337,
Gaia DR3 282913898131509504,0.436,
Gaia DR3 2829165292260647552,0.666,
Gaia DR3 2829220680158155264,0.573,
Gaia DR3 2829349018076401664,0.621,
Gaia DR3 282944061684505856,0.449,
Gaia DR3 2829647913440525568,0.498,
Gaia DR3 2829651963594102016,0.648,
Gaia DR3 2829685945375345536,0.498,
Gaia DR3 2829701888294147328,0.56,
Gaia DR3 2829709516156511744,0.597,
Gaia DR3 2829783149075683584,0.706,
Gaia DR3 2829941581829588864,0.591,
Gaia DR3 2830020166846098560,,
Gaia DR3 2830248276853310592,0.681,
Gaia DR3 2830279269338005376,0.562,
Gaia DR3 2830349638081870592,0.695,
Gaia DR3 2830392450315806592,0.227,
Gaia DR3 2830456325069652736,0.68,
Gaia DR3 2830498145166493568,0.6,
Gaia DR3 2830537860729256192,0.796,
Gaia DR3 2830594176340527232,0.31,
Gaia DR3 2830838959411719680,0.576,
Gaia DR3 2830856517237986176,0.322,
Gaia DR3 283092152157966592,0.605,
Gaia DR3 2831008417345284096,0.878,
Gaia DR3 2831173039146765568,0.596,
Gaia DR3 2831460247905090048,0.629,
Gaia DR3 2831652834238562304,0.577,
Gaia DR3 2831688224769396224,0.686,
Gaia DR3 2831702655859648512,0.801,
Gaia DR3 283186091681656832,0.63,
Gaia DR3 2831898231490550272,0.656,
Gaia DR3 2831943861222947200,,
Gaia DR3 2832238392899745408,0.618,
Gaia DR3 2832255744567707136,0.703,
Gaia DR3 2832442352306576512,0.293,
Gaia DR3 2832478567470970624,0.279,
Gaia DR3 2832485409355089536,,
Gaia DR3 2832528560890400384,0.451,
Gaia DR3 283267184961975424,0.624,
Gaia DR3 2832673077949874944,0.545,
Gaia DR3 2832849343407859712,0.726,
Gaia DR3 2832873738822253696,0.857,
Gaia DR3 2832897412682167424,0.49,
Gaia DR3 2833167308427566848,0.662,
Gaia DR3 2833204210785430400,0.541,
Gaia DR3 2833359894759957248,0.676,
Gaia DR3 283346311142533120,0.536,
Gaia DR3 2833663634847431424,0.672,
Gaia DR3 283374112467108608,0.469,
Gaia DR3 2833750805503541376,0.578,
Gaia DR3 2833843886034569856,0.374,
Gaia DR3 2833849800205759360,0.288,
Gaia DR3 2833859695810447744,0.584,
Gaia DR3 2833861203343590528,0.506,
Gaia DR3 2833867392391927936,1.155,
Gaia DR3 2834097465199673856,0.917,
Gaia DR3 2834132507836833280,0.753,
Gaia DR3 2834374778352293888,0.649,
Gaia DR3 2834455802911094016,,
Gaia DR3 2834472772326250880,0.687,
Gaia DR3 283462794953043072,0.675,
Gaia DR3 2834648969064715904,0.523,
Gaia DR3 2835032251946333824,0.587,
Gaia DR3 2835047546326025344,0.505,
Gaia DR3 2835073036956062336,0.822,
Gaia DR3 2835120144157935616,0.715,
Gaia DR3 2835134643967092992,0.7,
Gaia DR3 283521584465495424,0.966,
Gaia DR3 2835271262582283648,0.596,
Gaia DR3 2835285792455467776,0.569,
Gaia DR3 2835345063004176256,0.786,
Gaia DR3 2835438177894798720,0.875,
Gaia DR3 2835468315681504384,0.408,
Gaia DR3 2835587372175652224,0.638,
Gaia DR3 2835669079632896896,,
Gaia DR3 2835758479376779776,0.631,
Gaia DR3 283586627448950016,0.784,
Gaia DR3 2835929045413521920,0.592,
Gaia DR3 2835969276371444736,0.683,
Gaia DR3 283603463720576640,0.555,
Gaia DR3 2836139533170702464,0.268,
Gaia DR3 2836321979085875328,,
Gaia DR3 2836342869807040128,0.599,
Gaia DR3 283639571508605184,0.732,
Gaia DR3 2836445330546187648,0.576,
Gaia DR3 2836453405084874112,0.83,
Gaia DR3 2836648190441773056,0.537,
Gaia DR3 283673866824236928,0.718,
Gaia DR3 2836811364839065856,,
Gaia DR3 2836819164499752832,0.584,
Gaia DR3 2836900876253541632,0.698,
Gaia DR3 2836909187014284672,,
Gaia DR3 2836956775251954560,0.62,
Gaia DR3 283704786292510464,0.664,
Gaia DR3 2837245053458749952,0.277,
Gaia DR3 283724886739967744,0.598,
Gaia DR3 2837419330346221056,0.337,
Gaia DR3 2837433589637545856,0.252,
Gaia DR3 2837513884050272000,0.33,
Gaia DR3 2837576762370681856,0.439,
Gaia DR3 2837958743878914944,0.547,
Gaia DR3 2838049140054062848,0.412,
Gaia DR3 2838160362527561984,0.702,
Gaia DR3 2838163905876751872,0.714,
Gaia DR3 2838266671557276544,0.58,
Gaia DR3 283832673238967552,0.492,
Gaia DR3 2838361023399248384,,
Gaia DR3 2838377722232582400,0.558,
Gaia DR3 283863631362567168,1.084,
Gaia DR3 2838636966458088576,0.58,
Gaia DR3 28386577026203264,0.257,
Gaia DR3 2838845289551963136,0.648,
Gaia DR3 2839090003905058432,0.623,
Gaia DR3 283912873164946944,0.561,
Gaia DR3 283914655575238656,0.45,
Gaia DR3 2839231634746334976,0.439,2.4
Gaia DR3 2839567840489602048,0.56,
Gaia DR3 2839631887042624128,0.564,
Gaia DR3 2839693287895028224,0.725,
Gaia DR3 2839763897156750976,0.671,
Gaia DR3 2839877146854602368,0.564,
Gaia DR3 2840029807172089728,0.576,
Gaia DR3 284004025257888896,0.549,
Gaia DR3 2840153884484433792,0.766,
Gaia DR3 2840203809183983488,0.686,
Gaia DR3 2840250121814695168,0.849,
Gaia DR3 2840295304870263680,0.64,
Gaia DR3 2840323651654512512,,
Gaia DR3 2840354575419898880,0.515,
Gaia DR3 2840357186760023168,0.677,
Gaia DR3 2840558225588567040,0.504,
Gaia DR3 2840608120225231488,0.585,
Gaia DR3 2840624819058550400,0.635,
Gaia DR3 2840675323577328256,,
Gaia DR3 2840696729694244480,0.444,
Gaia DR3 2840710336151025792,0.592,
Gaia DR3 2840771874442299520,0.623,
Gaia DR3 2840795827475706368,0.541,
Gaia DR3 284081437745688320,0.638,
Gaia DR3 2840819153441912064,0.573,
Gaia DR3 2841039472381339392,0.441,
Gaia DR3 284108066544010496,0.576,
Gaia DR3 2841187494133935104,0.439,
Gaia DR3 2841201783491828480,,
Gaia DR3 284132947288504576,0.641,
Gaia DR3 2841367397427081728,0.488,
Gaia DR3 284139849300533248,0.632,
Gaia DR3 2841484461055554176,0.619,
Gaia DR3 2841611145411408640,,
Gaia DR3 284161324137283968,0.596,
Gaia DR3 2841636365459974656,0.667,
Gaia DR3 2841636983935272960,0.69,
Gaia DR3 2841638122102043648,0.594,
Gaia DR3 284165314162718848,0.583,
Gaia DR3 2841671829005439488,0.668,
Gaia DR3 2841679899247851392,0.599,
Gaia DR3 2841771575325305216,0.302,
Gaia DR3 2841843073645053952,0.309,
Gaia DR3 2841851010744709888,0.627,
Gaia DR3 2842147054251210240,0.307,
Gaia DR3 2842277896133889792,0.657,
Gaia DR3 2842288753811281536,0.666,
Gaia DR3 2842363280084468224,0.843,
Gaia DR3 284253030277328000,0.68,
Gaia DR3 2842642899634604928,0.531,
Gaia DR3 2842660079504374016,0.488,
Gaia DR3 2842683237968169600,0.725,
Gaia DR3 2842694065582314880,0.68,
Gaia DR3 2842952274719704448,0.661,
Gaia DR3 2842980621507967232,0.242,
Gaia DR3 2843130636120782720,0.8,
Gaia DR3 2843187604566889088,0.301,
Gaia DR3 2843201176663975936,0.556,
Gaia DR3 2843248936700783616,0.69,
Gaia DR3 2843304530757477632,0.538,
Gaia DR3 2843356139083691904,0.312,
Gaia DR3 2843394587631198848,0.316,
Gaia DR3 284340235293702912,0.862,
Gaia DR3 2843413146186750464,0.513,
Gaia DR3 2843536871308012928,0.614,
Gaia DR3 284359408027967232,0.417,
Gaia DR3 2843603666639658240,0.766,
Gaia DR3 2843673794864814464,0.227,
Gaia DR3 2844034846998168576,0.489,
Gaia DR3 2844095217056407296,0.646,
Gaia DR3 2844127171613265408,0.076,
Gaia DR3 2844149368004288000,0.518,
Gaia DR3 2844265091603182592,0.731,
Gaia DR3 2844363978930017024,0.759,
Gaia DR3 2844386969891600640,0.605,
Gaia DR3 2844395486810043264,0.547,
Gaia DR3 2844427269567640192,0.77,
Gaia DR3 2844511283424414592,0.378,
Gaia DR3 2844567903977319936,0.701,
Gaia DR3 2844579414489330816,,
Gaia DR3 2844653975121383936,0.602,
Gaia DR3 2844683696296118912,0.778,
Gaia DR3 2844789833526780160,0.761,
Gaia DR3 2844836807585661312,0.642,
Gaia DR3 2844874564641882496,0.593,
Gaia DR3 2844907829165085056,0.978,
Gaia DR3 2844972872149570560,0.778,
Gaia DR3 2845085705234300928,0.628,
Gaia DR3 2845109757050632064,,
Gaia DR3 284511346791161088,0.333,
Gaia DR3 2845186997742700544,0.553,
Gaia DR3 2845214726052175872,0.537,
Gaia DR3 2845459131167213824,0.592,
Gaia DR3 2845637591352084736,0.522,
Gaia DR3 2845682636969123456,0.376,
Gaia DR3 2845707685218563328,0.446,
Gaia DR3 2845808943366716160,0.688,
Gaia DR3 2845826226315340288,0.574,
Gaia DR3 284586083518030336,0.573,
Gaia DR3 2846056784456458240,0.784,
Gaia DR3 2846424669878319488,0.659,
Gaia DR3 284644220195360128,0.54,
Gaia DR3 2846509469712707584,0.721,
Gaia DR3 2846539534484165888,0.568,
Gaia DR3 2846570149010621440,0.634,
Gaia DR3 2846574169099979648,0.881,
Gaia DR3 284664316346902144,0.654,
Gaia DR3 2846673777982105856,0.735,
Gaia DR3 2846765106166697472,0.119,
Gaia DR3 2846801424409619456,0.734,
Gaia DR3 2846816370896369280,0.412,
Gaia DR3 2846955772649970688,0.548,
Gaia DR3 2847009438265834752,0.624,
Gaia DR3 2847028336121656704,0.699,
Gaia DR3 2847101625443685504,1.018,
Gaia DR3 2847116297051972992,0.573,
Gaia DR3 2847370185454454912,0.65,
Gaia DR3 2847725701372103040,0.72,
Gaia DR3 2847789408622648320,0.585,
Gaia DR3 284782238968396416,0.57,
Gaia DR3 2847872249952002816,0.681,
Gaia DR3 2847873177664934656,0.612,
Gaia DR3 2847880526353509888,0.375,
Gaia DR3 2847892831435599744,0.684,
Gaia DR3 2848099402182260224,0.894,
Gaia DR3 2848231171778694272,0.696,
Gaia DR3 2848332047675425152,0.607,
Gaia DR3 2848404718521184256,0.604,
Gaia DR3 2848457769957657088,0.733,
Gaia DR3 2848600328513294080,0.6,
Gaia DR3 2848658533908563328,0.627,
Gaia DR3 2848734060910290048,0.596,
Gaia DR3 2848778174517824256,0.627,
Gaia DR3 2848786214696689280,0.384,
Gaia DR3 284882981720759040,0.541,
Gaia DR3 2848835211683266944,0.567,
Gaia DR3 2848951970370040192,0.645,
Gaia DR3 2848999966628675328,0.565,
Gaia DR3 2849124589400143232,0.238,
Gaia DR3 2849207808686738048,0.75,
Gaia DR3 2849271133684254976,0.833,
Gaia DR3 2849282785931179136,0.649,
Gaia DR3 2849517256785508736,0.249,
Gaia DR3 284963933264877056,0.569,
Gaia DR3 2849675857042441600,0.619,
Gaia DR3 284989325118027264,0.761,
Gaia DR3 2849902734395064576,,
Gaia DR3 2849982453283985920,0.429,
Gaia DR3 285007054736151296,0.536,
Gaia DR3 2850254921713059968,0.671,
Gaia DR3 2850260320487926400,,
Gaia DR3 2850357661626344960,1.03,
Gaia DR3 285036333529903872,0.668,
Gaia DR3 2850846184091080576,0.608,
Gaia DR3 285087387805898496,0.26,
Gaia DR3 285092924018792320,0.769,
Gaia DR3 2851004582484743936,0.346,
Gaia DR3 2851096464722802176,0.648,
Gaia DR3 2851209783138377088,0.708,
Gaia DR3 2851233521421675264,0.543,
Gaia DR3 2851290700320891008,,
Gaia DR3 2851391370060065024,0.476,
Gaia DR3 2851420820651132800,0.638,
Gaia DR3 2851800220882425984,0.564,
Gaia DR3 2851816537462568320,0.678,
Gaia DR3 2851914393996858752,0.25,
Gaia DR3 2852006031419762560,0.616,
Gaia DR3 2852019642172925440,0.54,
Gaia DR3 285207754265128320,0.536,
Gaia DR3 2852095504178592000,0.623,
Gaia DR3 2852097016007094016,0.861,
Gaia DR3 2852132582632290176,0.782,
Gaia DR3 2852135808151064576,0.567,
Gaia DR3 285221085843244928,0.403,
Gaia DR3 2852253181017906816,0.368,
Gaia DR3 2852258575496660224,0.628,
Gaia DR3 2852309290471010688,0.581,
Gaia DR3 2852341970876734464,0.574,
Gaia DR3 2852346059687812352,0.634,
Gaia DR3 2852348151334063616,0.365,
Gaia DR3 2852463119019590528,0.457,
Gaia DR3 2852495455827670400,,
Gaia DR3 285251047535259648,0.623,
Gaia DR3 2852740367748204928,0.678,
Gaia DR3 2852808262590879488,0.545,
Gaia DR3 2852821662888733440,0.646,
Gaia DR3 2852838705322141824,0.452,
Gaia DR3 285290045838455680,0.564,
Gaia DR3 2853188560471008768,0.993,
Gaia DR3 2853326613603598336,0.594,
Gaia DR3 2853370495285603200,0.554,
Gaia DR3 2853437359336544768,0.58,
Gaia DR3 285346150995649920,0.497,
Gaia DR3 2853488104374804352,,
Gaia DR3 2853532565875582848,0.434,
Gaia DR3 2853554899705767424,0.597,
Gaia DR3 2853570842624550016,0.319,
Gaia DR3 285359727387818496,0.567,
Gaia DR3 2853830018130309120,0.812,
Gaia DR3 2853856372050204928,0.636,
Gaia DR3 2853992367895327360,0.789,
Gaia DR3 2854214606682688000,0.543,
Gaia DR3 2854220482198127488,0.283,
Gaia DR3 2854376750287529216,0.629,
Gaia DR3 2854378330835616384,0.674,
Gaia DR3 2854400321069005056,,
Gaia DR3 2854449867810656384,0.466,
Gaia DR3 2854550855377823744,0.557,
Gaia DR3 2854566248540601984,0.636,
Gaia DR3 2854578171369919744,,
Gaia DR3 2854620257753456384,,
Gaia DR3 2854669289101010176,0.611,
Gaia DR3 2854832983189364352,0.496,
Gaia DR3 2855001719569657984,0.642,
Gaia DR3 2855078994620262272,0.546,
Gaia DR3 2855113148200493440,0.719,
Gaia DR3 2855241859780361088,0.596,
Gaia DR3 2855431903492879872,,
Gaia DR3 2855436782575774464,0.415,
Gaia DR3 2855525705579105920,0.593,
Gaia DR3 2855533608318920960,0.56,
Gaia DR3 2855640226586651008,0.59,
Gaia DR3 2855735677943182208,0.6,
Gaia DR3 2855749456195129984,0.835,
Gaia DR3 2855858101687546496,0.66,
Gaia DR3 2855884489966728832,0.721,
Gaia DR3 2855905105809876096,0.662,
Gaia DR3 2855941943744691072,0.612,
Gaia DR3 2856063160606187264,0.576,
Gaia DR3 2856086598243251840,0.494,
Gaia DR3 2856099616289102976,0.412,
Gaia DR3 2856249394683762560,,
Gaia DR3 2856311306636609664,0.484,
Gaia DR3 2856385042635386112,0.697,
Gaia DR3 2856444691140988672,0.21,
Gaia DR3 2856456029855056768,0.444,
Gaia DR3 2856602299261140480,1.19,
Gaia DR3 285660370801318912,0.88,
Gaia DR3 2856683633057098624,0.593,
Gaia DR3 2856711464445552256,0.685,
Gaia DR3 2856759048388052608,0.578,
Gaia DR3 2856774441550470656,0.485,
Gaia DR3 2856847765235518080,,
Gaia DR3 2856883709813783296,0.648,
Gaia DR3 2856883739877737216,,
Gaia DR3 2856887798622638720,0.863,
Gaia DR3 2857005613870156160,0.631,
Gaia DR3 2857058630946592128,0.573,
Gaia DR3 2857063063352792320,,
Gaia DR3 2857149173152406784,0.676,
Gaia DR3 2857195348345649408,0.659,
Gaia DR3 2857195455719309440,0.519,
Gaia DR3 2857291418174576128,0.441,
Gaia DR3 2857303203564124288,0.599,
Gaia DR3 2857325262516354176,0.585,
Gaia DR3 2857469676496390528,0.592,
Gaia DR3 2857518020648771072,0.761,
Gaia DR3 2857527263418542336,0.69,
Gaia DR3 2857528672167819520,0.636,
Gaia DR3 2857609043890723584,0.321,
Gaia DR3 2857614781967073024,0.71,
Gaia DR3 285767470106286208,0.661,
Gaia DR3 2857766166679429120,0.482,
Gaia DR3 2857864023213899264,0.25,
Gaia DR3 2857866256596991104,0.648,
Gaia DR3 2857899246241164800,,
Gaia DR3 2857927386866739456,,
Gaia DR3 2857929925192369792,0.543,
Gaia DR3 2857996514364769152,0.595,
Gaia DR3 2858011529571015424,,
Gaia DR3 2858036234222465664,0.677,
Gaia DR3 2858052864335979648,0.638,
Gaia DR3 2858056403389042560,0.762,
Gaia DR3 285812240846012032,0.682,
Gaia DR3 2858216382331374208,,
Gaia DR3 2858302625273891072,0.436,
Gaia DR3 285832414308798720,0.287,
Gaia DR3 2858421441254970240,0.463,
Gaia DR3 2858430202983396992,0.651,
Gaia DR3 2858551527218616064,,
Gaia DR3 2858577747994382208,0.5,
Gaia DR3 285868384657925888,0.472,
Gaia DR3 2858733771270915968,0.913,
Gaia DR3 2858916255842233728,0.565,
Gaia DR3 2859003804455163776,0.786,
Gaia DR3 2859276723856423552,0.614,
Gaia DR3 2859281362421195904,0.594,
Gaia DR3 2859321425876246912,0.345,
Gaia DR3 2859405847753866368,0.521,
Gaia DR3 2859489273198940928,0.609,
Gaia DR3 2859520888452856832,0.673,
Gaia DR3 2859616060633335424,0.672,
Gaia DR3 2859758481748381824,0.523,
Gaia DR3 285976686554041088,0.343,
Gaia DR3 2859800989040473088,0.788,
Gaia DR3 2859826106009305216,0.339,
Gaia DR3 2859834107533727744,1.093,
Gaia DR3 2859947872628008832,0.681,
Gaia DR3 2859976803526160256,0.574,
Gaia DR3 2860079745303038976,0.594,
Gaia DR3 286013043452482048,0.61,
Gaia DR3 2860242099361445632,,
Gaia DR3 2860262264232487424,0.575,
Gaia DR3 2860271854895689600,0.529,
Gaia DR3 2860276008128035712,0.545,
Gaia DR3 2860293909552007424,0.634,
Gaia DR3 286032181826704896,0.661,
Gaia DR3 2860382351517902848,,
Gaia DR3 286046677340566400,,
Gaia DR3 2860507214807214976,0.104,
Gaia DR3 2860546934665111552,,
Gaia DR3 2860574010139013632,0.582,
Gaia DR3 2860595038298902016,0.96,
Gaia DR3 2860793397067782528,,
Gaia DR3 2860848961060288000,1.164,
Gaia DR3 2860862704955626624,0.519,
Gaia DR3 2860882182632245632,0.734,
Gaia DR3 2860923998433585664,0.577,
Gaia DR3 2860970384080657920,0.418,
Gaia DR3 2860975336179135488,0.135,
Gaia DR3 2861155342552030720,0.345,
Gaia DR3 2861176856043900288,0.55,
Gaia DR3 286119004590324736,0.616,
Gaia DR3 2861239184609863552,0.576,
Gaia DR3 2861395757641500544,0.677,
Gaia DR3 286141480155854848,0.888,
Gaia DR3 2861553331402391680,0.584,
Gaia DR3 2861598583177339136,0.647,
Gaia DR3 2861616523255756288,0.637,
Gaia DR3 2861667852410290560,,
Gaia DR3 286167864137239424,0.417,
Gaia DR3 2861820444007540736,0.624,
Gaia DR3 2861878374526639360,1.025,
Gaia DR3 2861899918082094592,0.668,
Gaia DR3 2861942184856247296,0.777,
Gaia DR3 2862139233659963136,0.756,
Gaia DR3 2862154695542969216,0.601,
Gaia DR3 2862155588896183424,,
Gaia DR3 2862177647848334976,0.574,
Gaia DR3 2862223552458046336,0.635,
Gaia DR3 2862243996502738560,0.544,
Gaia DR3 2862488706559277952,0.605,
Gaia DR3 2862525471479650560,0.592,
Gaia DR3 2862649441415975680,0.538,
Gaia DR3 2862672432375461888,0.794,
Gaia DR3 2862734550487132288,0.436,
Gaia DR3 2862978818162482688,0.32,
Gaia DR3 2863069626656553728,,
Gaia DR3 2863095572553546112,0.725,
Gaia DR3 2863140716954312832,0.53,
Gaia DR3 2863166246239723776,0.619,
Gaia DR3 2863325812865172352,0.544,
Gaia DR3 2863329424932936960,0.434,
Gaia DR3 2863394601061683584,0.513,
Gaia DR3 2863487028760318592,0.331,
Gaia DR3 2863491740337643008,0.584,
Gaia DR3 2863607326497019520,,
Gaia DR3 2863695111333579520,0.679,
Gaia DR3 2863708236752742912,0.89,
Gaia DR3 2863836707815291904,0.642,
Gaia DR3 2863955008394152064,0.569,
Gaia DR3 2863973356494362752,0.309,
Gaia DR3 2863987409627626112,0.355,
Gaia DR3 2864050223525121664,0.602,
Gaia DR3 2864079940402865408,0.582,
Gaia DR3 2864133507234487808,,
Gaia DR3 2864206556038437632,0.621,
Gaia DR3 2864339150269021312,0.567,
Gaia DR3 2864432097658118528,0.56,
Gaia DR3 2864466246940937984,,
Gaia DR3 2864470370109582080,0.272,
Gaia DR3 2864542663000266496,0.647,
Gaia DR3 2864564275275838208,0.541,
Gaia DR3 2864592965656166656,0.768,
Gaia DR3 2864723360863240704,0.588,
Gaia DR3 2864872722645789056,0.546,
Gaia DR3 2864935016852562048,,
Gaia DR3 2864970957138516352,0.612,
Gaia DR3 2865313940343232512,0.656,
Gaia DR3 2865395677863970688,0.963,
Gaia DR3 286541251414141824,0.601,
Gaia DR3 2865608880040887424,0.533,
Gaia DR3 2865646091636847872,0.653,
Gaia DR3 286566471462583424,0.8,
Gaia DR3 2865710142486025600,,
Gaia DR3 2865924925210489856,0.277,
Gaia DR3 2865993193714381696,,
Gaia DR3 2866032707413646208,0.66,
Gaia DR3 286626777100218624,0.691,
Gaia DR3 2866279375974945664,0.632,
Gaia DR3 2866346377465328000,1.017,
Gaia DR3 2866406197769959040,0.582,
Gaia DR3 286651653550696448,0.557,
Gaia DR3 2866585899202173568,0.598,
Gaia DR3 2866950456024841216,0.258,
Gaia DR3 2867003099440381056,0.794,
Gaia DR3 2867069448096269184,0.574,
Gaia DR3 2867080954315628416,,
Gaia DR3 2867205615738391424,0.804,
Gaia DR3 2867214854212348544,0.601,
Gaia DR3 286732394638433664,0.609,
Gaia DR3 2867393662290131840,0.323,
Gaia DR3 2867428709223740288,0.607,
Gaia DR3 2867527390391849344,0.703,
Gaia DR3 2867554981261929344,0.553,
Gaia DR3 286759504472708992,0.598,
Gaia DR3 2867690500366159616,0.398,
Gaia DR3 2867697849053910272,0.343,
Gaia DR3 2867769355965726720,0.773,
Gaia DR3 2867783267363752192,0.626,
Gaia DR3 2867820547680065024,0.599,
Gaia DR3 2867821956429332224,1.137,
Gaia DR3 2867828312980433920,1.166,
Gaia DR3 2867855938210953472,0.719,
Gaia DR3 2867877073746388736,0.689,
Gaia DR3 2867904866477597952,0.636,
Gaia DR3 2867935206126692864,,
Gaia DR3 2867960804131926272,,
Gaia DR3 286810872281163776,0.523,
Gaia DR3 2868163427804928896,0.637,
Gaia DR3 2868231249633030144,0.586,
Gaia DR3 2868289832986763136,0.506,
Gaia DR3 2868493109494037632,,
Gaia DR3 2868507884181093760,0.256,
Gaia DR3 2868606874588184192,0.578,
Gaia DR3 2868838111331298176,,
Gaia DR3 2869128897797854080,0.207,
Gaia DR3 2869171847470348160,0.209,
Gaia DR3 2869183495422306304,,
Gaia DR3 2869192635112685184,0.757,
Gaia DR3 2869251836941053696,0.885,
Gaia DR3 2869342787169195648,0.553,
Gaia DR3 2869363437373271168,0.66,
Gaia DR3 2869378078916323456,0.887,
Gaia DR3 2869385668122404992,,
Gaia DR3 2869410853810346240,,
Gaia DR3 2869434050930106880,,
Gaia DR3 2869444904311414272,0.446,
Gaia DR3 2869452944490248576,0.65,
Gaia DR3 2869460228754888448,1.02,
Gaia DR3 286948792271326080,0.485,
Gaia DR3 2869572795554139008,,
Gaia DR3 286974940032556288,0.531,
Gaia DR3 2869766477103048704,0.546,
Gaia DR3 286977654451918976,0.453,
Gaia DR3 286979956553152000,0.315,
Gaia DR3 2869963186604591232,0.348,
Gaia DR3 2870039538239771392,0.85,
Gaia DR3 2870043760191535744,0.678,
Gaia DR3 2870144296785631488,0.562,
Gaia DR3 2870147251723221632,,
Gaia DR3 2870159075769609856,,
Gaia DR3 2870326162880938496,0.547,
Gaia DR3 287038990881256448,0.537,
Gaia DR3 2870472329208460160,0.318,
Gaia DR3 2870543492523044608,0.341,
Gaia DR3 2870551287886512512,0.704,
Gaia DR3 287058228037678976,0.594,
Gaia DR3 2870757622412896256,0.591,
Gaia DR3 2870761019729275776,0.497,
Gaia DR3 2870843208224066688,0.255,
Gaia DR3 2870894335514404480,0.644,
Gaia DR3 2870923094616178048,0.56,
Gaia DR3 2871059399698418816,0.645,
Gaia DR3 2871095271264230912,0.784,
Gaia DR3 2871126229388700288,0.827,
Gaia DR3 2871131074111894144,0.524,
Gaia DR3 2871172683755211008,0.72,
Gaia DR3 2871183197835251328,0.636,
Gaia DR3 2871192440604423040,,
Gaia DR3 2871243808413440640,0.585,
Gaia DR3 2871285280617452672,0.567,
Gaia DR3 2871316822858227200,0.519,
Gaia DR3 2871342528239429888,,
Gaia DR3 2871422960089531776,0.595,
Gaia DR3 2871423097528428800,0.595,
Gaia DR3 2871426877099719936,0.917,
Gaia DR3 2871460485221304320,0.632,
Gaia DR3 2871484124721661824,0.539,
Gaia DR3 2871506802149093376,0.61,
Gaia DR3 2871585481652499328,0.65,
Gaia DR3 2871591498904287488,,
Gaia DR3 2871598336491925376,0.734,
Gaia DR3 2871683819223044096,0.565,
Gaia DR3 2871802570774683008,,
Gaia DR3 2871985497725510272,0.619,
Gaia DR3 2872118882230389632,0.605,
Gaia DR3 2872126716250838912,0.637,
Gaia DR3 2872194473655307648,0.654,
Gaia DR3 2872221656505589888,0.616,
Gaia DR3 2872336177512878080,,
Gaia DR3 2872567345535501824,0.588,
Gaia DR3 2872656612136281472,,
Gaia DR3 2872669290879782016,0.357,
Gaia DR3 2872696439369308032,0.552,
Gaia DR3 2872738972428152320,0.559,
Gaia DR3 2872744057670617728,0.439,
Gaia DR3 2872750757818517376,0.668,
Gaia DR3 2872774740915922432,0.824,
Gaia DR3 2872832327838075264,0.464,
Gaia DR3 2872879125801300864,0.489,
Gaia DR3 2872889674241116032,0.509,
Gaia DR3 287290190631454720,0.873,
Gaia DR3 2872944443663646720,0.562,
Gaia DR3 2872968327978963840,0.443,
Gaia DR3 2872987152818398720,0.869,
Gaia DR3 2873006188113615104,0.663,
Gaia DR3 2873021100240816000,0.637,
Gaia DR3 2873114936685951488,0.269,
Gaia DR3 287314586045051520,0.722,
Gaia DR3 2873156065293583104,0.307,
Gaia DR3 2873171630254417408,0.548,
Gaia DR3 287319813022680704,0.769,
Gaia DR3 2873254849540316544,0.583,
Gaia DR3 2873257976276570752,0.506,
Gaia DR3 2873304808599755520,0.897,
Gaia DR3 2873398782484636672,0.746,
Gaia DR3 2873413595827680512,0.793,
Gaia DR3 2873413728970943360,0.942,
Gaia DR3 2873419054730423040,0.619,
Gaia DR3 287346643682620672,0.286,
Gaia DR3 2873491347619449216,0.362,
Gaia DR3 2873505301968425984,0.355,
Gaia DR3 287354305903563904,0.4,
Gaia DR3 2873547250916286080,0.503,
Gaia DR3 2873571577609388288,0.197,
Gaia DR3 2873690771541310720,0.56,
Gaia DR3 2873879165986815872,0.553,
Gaia DR3 2873969811272240896,0.662,
Gaia DR3 2873983310353558528,0.533,
Gaia DR3 2874041176449011968,0.724,
Gaia DR3 2874127243298223744,0.624,
Gaia DR3 2874138925609367680,0.672,
Gaia DR3 2874159644531724288,0.593,
Gaia DR3 2874172391993546496,0.494,
Gaia DR3 2874181085007371008,0.633,
Gaia DR3 2874187819516294272,0.355,
