wdid,mass,age
2MASS J04171658+0555225,0.36,
2MASS J04195512+2801576,,
2MASS J04210658+2546557,,
2MASS J04221133-4741421,0.512,
2MASS J04255699+4614177,0.74,10.21
2MASS J04325585-3557289,0.495,4.89
2MASS J04332980+0414477,0.61,7.15
2MASS J04385692+6351343,0.49,
2MASS J04404691-0504128,0.51,
2MASS J04421826-0448202,,
2MASS J04510683-0337234,,
2MASS J04555136+3840505,0.602,6.33
2MASS J05033985+1730599,,
2MASS J05155350+2839169,0.701,3.08
2MASS J05265609+4435395,0.492,6.08
2MASS J06023672+0904237,0.553,2.04
2MASS J06214164-4016187,0.688,2.39
2MASS J06313916+8228279,0.53,
2MASS J06322939+2230050,0.561,3.04
2MASS J06392837+3605410,,
2MASS J06421272+3816390,0.68,
2MASS J06443019+2731115,0.838,3.57
2MASS J06472372+8407234,0.41,
2MASS J06481277+3810058,0.74,
2MASS J06502369+0459255,,
2MASS J06503681+1657538,0.597,6.4
2MASS J06533021-3954292,0.602,1.53
2MASS J06533533-3955335,0.583,2.66
2MASS J06553850+5920276,0.91,
2MASS J07033689+3851423,,
2MASS J07052557+2707422,,
2MASS J07062860+3836502,,
2MASS J07071858+1400581,,
2MASS J07085228-6706314,0.497,5.47
2MASS J07111440-2518152,0.338,
2MASS J07130971+4012495,,
2MASS J07140141+6933219,,
2MASS J07194182+4120558,,
2MASS J07213060+3742287,0.96,
2MASS J07225106+3859446,,
2MASS J07232978+3909085,1.0,
2MASS J07242141+3856306,,
2MASS J07253523+8150515,,
2MASS J07254388+4145187,0.55,
2MASS J07263538+3225544,0.8,
2MASS J07292074+4304109,0.8,
2MASS J07305983+1440523,0.25,
2MASS J07312832+2643539,,
2MASS J07344565+1554488,,
2MASS J07345592+4105374,0.6,
2MASS J07350161+3209131,,
2MASS J07353430+6506487,,
2MASS J07371227+2642247,,
2MASS J07372134+4641369,,
2MASS J07381867+3746593,,
2MASS J07390694+2743539,0.56,
2MASS J07391257+2253117,,
2MASS J07394262+1714388,,
2MASS J07402413+2029372,0.618,0.08161
2MASS J07415434+3808502,0.232,0.3814
2MASS J07430194+4106554,0.5,0.0447
2MASS J07432963+2835280,,
2MASS J07435268+3225474,0.76,0.4266
2MASS J07442543+3530408,,
2MASS J07445238+1925262,,
2MASS J07455258+2551274,,
2MASS J07463208+1819111,0.37,
2MASS J07473056+4304035,0.87,
2MASS J07473355+4720043,0.48,0.0447
2MASS J07475875+2229422,,
2MASS J07484570+1802405,0.625,
2MASS J07485048+3019450,,
2MASS J07485208+4549037,,
2MASS J07500557+3933014,0.44,
2MASS J07500993+3816415,0.47,0.0661
2MASS J07503233+0918580,0.549,4.82
2MASS J07504394+3808216,,
2MASS J07505185+0850201,0.81,
2MASS J07514576+2711210,,
2MASS J07522315+4332122,0.55,
2MASS J07531467+1909261,,
2MASS J07532593+1641329,1.19,
2MASS J07535663-2524016,0.518,5.32
2MASS J07535949+1754457,0.83,
2MASS J07545383+2817199,,
2MASS J07545584+2947595,0.59,
2MASS J07550868+1226011,0.58,
2MASS J07552498+2815221,,
2MASS J07565849+1149193,0.62,
2MASS J07572107+3230545,0.5,
2MASS J07583509+4825234,,
2MASS J07591929+4132062,,
2MASS J07591942+3219485,0.35,0.2089
2MASS J08000388+5035454,0.669,
2MASS J08001182+1144373,0.49,
2MASS J08002913+4911125,0.465,0.8575
2MASS J08020022-5327499,0.53,
2MASS J08023568+5257367,0.64,
2MASS J08024297+1750009,0.39,
2MASS J08030461+1218105,1.04,
2MASS J08034287+4256525,,
2MASS J08052387+1304353,,
2MASS J08052439+2324117,0.68,
2MASS J08060999+2141524,,
2MASS J08061173+3344271,0.641,0.2081
2MASS J08063688+2519120,,
2MASS J08064338+4035174,0.54,0.0186
2MASS J08065394+1607298,0.91,
2MASS J08070809-0647346,,
2MASS J08072680+3035022,,
2MASS J08073286+1127107,,
2MASS J08073695+0724121,0.61,
2MASS J08075600+4854195,0.627,2.19
2MASS J08082361+1712544,,
2MASS J08084617+3131060,,
2MASS J08084659+1825584,0.72,0.0087
2MASS J08093996+1251220,0.46,
2MASS J08095109+2250541,0.703,2.52
2MASS J08101689+0713335,,
2MASS J08112668+0539119,0.163,0.0112
2MASS J08115713+1435330,,
2MASS J08121026+6650416,,
2MASS J08131213+3247585,0.9,
2MASS J08134292+2750352,,
2MASS J08135548+4526234,0.33,
2MASS J08140617+5217158,0.48,0.0019
2MASS J08140986+5319212,0.106,
2MASS J08151368+2043483,0.58,
2MASS J08155746+2106569,0.35,
2MASS J08164875+2623540,0.184,0.257
2MASS J08165434+3542301,0.67,0.0263
2MASS J08170186-0003132,0.84,
2MASS J08171698+0542231,0.63,0.0052
2MASS J08173272+2657300,0.48,0.0692
2MASS J08181170+1732245,1.04,
2MASS J08182042+2705328,0.54,0.0001
2MASS J08193677+3529161,0.33,
2MASS J08194267+5426083,0.435,
2MASS J08195917+0604237,0.365,
2MASS J08201126+5842356,,
2MASS J08202203+4314112,0.515,0.0316
2MASS J08203701+4310048,0.295,0.77
2MASS J08205699+1900342,,
2MASS J08221922+2023264,0.344,0.94
2MASS J08225756+1844001,0.517,0.1347
2MASS J08242899+1723453,,
